n_inmueble;area;cuartos;aseos;precio;distrito;n_school;dist_nearest_school;n_hospital;dist_nearest_hosp;n_malls;dist_nearest_mall;n_rest;dist_nearest_rest;n_supermarket;dist_nearest_super;n_bank;dist_nearest_bank
112;200.0;3.0;2.0;420000.0;Santiago de Surco;28;0.12023660373546982;2;0.6744178997763969;17;0.14675926659461458;60;0.1397414568495264;3;0.24836816221688304;2;0.4955740986211571
113;112.0;2.0;3.0;175000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
114;440.0;5.0;4.0;750000.0;Miraflores;30;0.07243366374851942;4;0.3493459387025397;5;0.3012621118014603;60;0.06953550334087807;0;0.7160352338140187;6;0.14269399467787747
115;43.0;1.0;1.0;70000.0;San Miguel;42;0.13585837763608838;3;0.19379209619119706;4;0.2631288482951729;52;0.038839310535031285;6;0.24822707222020035;1;0.115888862057238
116;237.0;3.0;4.0;439000.0;Santiago de Surco;11;0.2955769594438566;2;0.3613737273143176;2;0.5844174311310383;21;0.15258714637183238;0;0.7094709198133063;4;0.5675086818062031
117;310.0;4.0;6.0;575000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
118;93.0;3.0;2.0;173747.0;Barranco;50;0.016061375030128267;2;0.40077591476897584;4;0.3230787377275371;60;0.10863513255488197;8;0.10518174003533516;4;0.14117673264542102
119;51.0;1.0;2.0;71800.0;San Miguel;40;0.0034525636821083148;3;0.1988554621464566;3;0.1173507027615888;58;0.11419473670445447;6;0.2844650832434327;1;0.0456462497768219
120;83.0;3.0;2.0;125000.0;San Miguel;58;1.3833336977292186e-12;13;0.17199499676937238;15;0.06664496626395885;60;0.015329486956984396;12;0.35506178717812403;25;1.383335608471102e-12
121;84.0;3.0;3.0;120000.0;San Miguel;58;1.3833336977292186e-12;13;0.17199499676937238;15;0.06664496626395885;60;0.015329486956984396;12;0.35506178717812403;25;1.383335608471102e-12
122;203.0;3.0;4.0;410000.0;San Isidro;27;0.23797233044205204;9;0.18675282522600184;6;0.294072474341764;38;0.14281384741697453;2;0.5293725744068997;22;0.19204392848307128
123;134.0;3.0;3.0;330000.0;San Isidro;47;0.0920226258493738;6;0.31508828806611355;15;0.3838133301034024;60;0.12549536017260726;5;0.11295308546114552;32;0.1029324426774205
124;221.0;3.0;3.0;350000.0;Surquillo;31;0.0766536882918168;7;0.2997351052195732;9;0.1828903875323798;60;0.0598532417377293;3;0.4888755429468934;12;0.4288030471768787
125;90.0;3.0;3.0;187257.0;Lince;51;0.0911560842803986;16;0.07567857024485526;24;0.1001932162385682;60;0.011038192399845359;4;0.5487358602243868;32;0.18791051245443904
126;160.0;3.0;3.0;405000.0;San Isidro;43;0.016247561819260136;6;0.3455364036706233;20;0.3252846695660153;60;0.11076604880082773;5;0.19858118379527528;33;0.1882755366096191
127;63.0;2.0;2.0;102800.0;San Miguel;40;0.0034525636821083148;3;0.1988554621464566;3;0.1173507027615888;58;0.11419473670445447;6;0.2844650832434327;1;0.0456462497768219
128;431.0;4.0;6.0;840000.0;Santiago de Surco;31;0.19871172953202004;4;0.1787033329565502;3;0.4256742457367257;18;0.3227110220222871;0;0.8086637712746574;9;0.5279053872629104
129;91.0;3.0;3.0;146000.0;Surquillo;55;0.012538851245745093;7;0.2259048824140269;23;0.10951199206510816;60;0.00574943148855264;5;0.21970674337845744;12;0.053190850639410835
130;142.0;3.0;4.0;280000.0;San Borja;19;0.15931849142112398;0;0.7594597369909734;0;0.7558739864742898;2;0.2776553204519007;0;0.9729429132327848;0;0.7663191199655222
131;125.0;3.0;4.0;239000.0;Santiago de Surco;26;0.1455708200364661;2;0.3416446005258991;1;0.4975078007808507;43;0.2628297449915696;4;0.4752116066273562;5;0.4269626067220205
132;264.0;4.0;4.5;520000.0;Miraflores;44;0.09125637764581804;10;0.2402375378459131;20;0.21600737345335191;60;0.15091098686585278;4;0.2738209952556253;30;0.3928436329175873
133;218.0;3.0;2.5;840000.0;San Isidro;22;0.1291910984802478;7;0.3032691501882677;5;0.5612486764674722;22;0.05527908100358376;2;0.3248448039467605;13;0.32329121733565663
